body,date,location
"I was on a girls holiday and we had made friends with one of the bar staff and invited them back to the caravan for some drinks, I had go in to my room to put my pj on and this boy follow me and forced himself onto me I was terrified to say no because of how drunk I was. I had a boyfriend at the time and when he found out he went round saying I was cheating on him and didn’t make sure I was okay",APRIL 24 2023,ENGLAND
"I was dating a lad I met of a friend (never met him) and at the start he was very nice and loving. Always caree about what I had to say and my opinions. Then around 2-3 weeks into the relationship he started to act weird. Causing aurgements over having boy mates, saying hi to a boy. Literally the smallest things ever. He started sending me pictures of knives and threatening me with them. Then one day we had a really bad aurgement over a boy making me uncomfortable. He started getting really mad calling me names, showing my knives, telling me to shut up or fuck off. I left him alone for abit to cool off, then [date omitted to preserve anonymity] I got a text from him saying ""im so sorry about what happened babe. To make it up to you. Ill come meet you."" I was suspicious but forgot about it soon. I met him at a local shop near my house. I saw him, I ran up to him and went to hug him. Then I realised he had a knife in his hand. He pressed it up against my back and said ""better fucking behave"" I immediately froze. I was terrified. We got on a bus back to his house it was a large house but not very large. His room was painted a beige colour and he had a desk next to his bed and a window. He pushed me up against thr bed. Pinned my hands above my head against the wall. N started taking our clothes off. I started kicking. Really hard. And he got more and more pissed and proceeded to molest me. I can remember a pain in my stomach and back. And can remember blood everywhere. I cried. And cried. And cried. He held me and fell asleep when he was done. I manged to get off him without waking him up and jumping out the window. I still had like 20 quid on me so I ran to the bus stop n caught a bus back home.",APRIL 24 2023,TUNISIA
"In [date omitted to preserve anonymity], during some lessons there was a person i was sitting next to that would grope me - rubbing/ grabbing my thighs, grabbing my but when standing or going to sit down even on a few occasions going to grab my privates (i am a male)",APRIL 23 2023,UNITED KINGDOM
"when i reported my assault to my school after an extremely triggering “sexual assault awareness assembly”, i was told by the “safeguarding” team that it would be dealt with , i wouldn’t be blamed and that they would do something about it. none of the above happened. i was told that both me and the perpetrator of my assault had “lessons to learn” , i was told to “go home put my pajamas on and watch a chick flick” to feel better and this boy is still in the school. [date omitted to preserve anonymity] i was told to “stop gossiping” about him as it has a “bad reprimand” on him, simply for telling my story. he still walks through the school building an innocent man as if he didn’t damage me permanently, and this is purely because the school showed him no consequences .",APRIL 23 2023,UNITED KINGDOM
at school i got pulled into a cupboard and pushed in to a wall i was physically touched and was really uncomfortable the person who did that has now left but i’ve never really talked about it people don’t realise how badly it affects someone,APRIL 23 2023,UNITED KINGDOM
"I don't know if this was proper assault but I'm still I'm still gonna say it one day in [date omitted to preserve anonymity] seven I was walking up to my class when one of my teachers looked up a girls skirt I never thought it would happen to me untill a [date omitted to preserve anonymity] in year 7 still I was walking up the stairs and had a gut feeling something was wrong I turned around to see that same teacher behind me and I just knew he was doing the same thing I ran to the bathroom in shock I told my head of form yet he did nothing.A [date omitted to preserve anonymity] my pe teacher came into the changing rooms whilst I was only in my bra and others with only a bra and underwear on I was uncomfortable but I let it go as I knew nothing would happend later in the lesson we was playing tennis and as my skirt was my old one as I couldn't find my normal one the ball was on the floor and as I picked it up when I looked up I saw my teacher who was obviously looking down there look back up and smile at me it was so horrific. Another time I felt uncomfortable was when I was in year six and my ""boyfriend"" at the time who was a few months younger than me, we went to the river near my house and we was alone and we was playing tag in the water except when he was tag he started touching me in my private parts multiple times I told him to stop but he didn't get pulled me close to him and started to touch me but much more I started to cry but he didn't stop I tried to pull back and as soon as I did I ran home and I fell to the floor. I never told anyone. I know that this was long but if You read this just know it means a lot .<3",APRIL 23 2023,ENGLAND
"when i was [date omitted to preserve anonymity] my best friend pressured me into doing things with her in the toilets. i thought i didnt have a choice. this went on for a month. when i told her i didnt want to do it anymore, she wouldnt talk to me until the [date omitted to preserve anonymity]",APRIL 23 2023,UNITED KINGDOM
"I was six years old when I was first subjected to a form of assault by a family member. That person and I were playing a game. But then I accidentally fell so then they took that chance, pressed up against me, then proceeded to kiss me and touch me inappropriately. After that incident, they never touched me again. I thought this thing was normal and I basically almost did the same thing to my childhood best friend, but luckily they were smarter than me and said no.Then another few incidents happened when i was seven. My aunt had an in-house worker for 3years and all those years a was a victim of several assaults from them. Every time i met up or got babysat by said person I would get locked up in a room, they would make me straddle them and touch them. Then, [date omitted to preserve anonymity] after my 10th birthday, they resigned and went completely off radar. There was no hope for me.By the time i was 11 i survived different assaults from 4 people. some were related to me. Now, these [date omitted to preserve anonymity] have been oddly difficult. I finally told my mom about what happened to me and i felt at peace for the first day. But then a series of sexual harassment and catcalling started to unfold, and i have never ever felt so distraught. I feel as if im an alien in my own body, i feel disgusting, i feel sick to my stomach. My body has become this horrible non consensual orgy and i cannot handle anymore. I want an out, I don't want to go into the shower and scrub my skin till it starts to bleed every time i think of my first kiss. I never want to kiss or touch anyone ever again.",APRIL 23 2023,LEBANON
"my ex and i used to fight a lot at school, one time a teacher saw and his head of year pulled him out of class to talk about consent. i realised what she had seen and i realised what he was doing wasn’t normal like he said it was. i wish someone would have spoke to me aswell because [date omitted to preserve anonymity] he sexually assaulted me in my own home and left me in hospital.",APRIL 23 2023,UNITED KINGDOM
"There was this popular boy at my school, he was in all of my classes and always spoke to me saying horrible things one day he added me on snap so I added him back he was begging for noods and sending his noods. The [date omitted to preserve anonymity] at school he was being really weird looking me up and down and winking, break time came around and I had to go to the toilet n I only feel comfortable in the disabled toilets so I headed over there n he followed behind me but I didn’t seem him till it was to late, I walked into the bathroom but before I could shut the door he held it and walked in and closed the door behind him I was terrified. He then said “since you didn’t do as I told you to“ n from the rest was a burr all I remember was him taking his trousers off and me trying to back off into a corner n I was crying n shouting help. once it had happened I was shaking I went out the bathroom shaking n just scared of what could happen next",APRIL 22 2023,UNITED KINGDOM
